personid,vehicleid,crashid,personinvolvementcd,sex,dob,personalinjurylevel,seatlocationcd,transportedind,ejectionind,airbagcd,alcoholuseind,pedestrianlocationcd,pedestriantype,pedestrianschoolinfoind,ageatcrash,contribcirccd1,contribcirccd2,contribcirccd3,contribcirccd4,contribcirccd5,contribcirccd6,contribcirccd7,contribcirccd8,contribcirccd9,contribcirccd10,contribcirccd11,contribcirccd12,distractioncd1,distractioncd2,distractioncd3,distractioncd4,pedestrianactioncd1,pedestrianactioncd2,pedestrianactioncd3,pedestrianactioncd4,pedestrianactioncd5,safetydevicecd1,safetydevicecd2
0130035891V1P1I01   ,0130035891V1 ,130035891,1,U,0001-01-01,U,FL,1,NA,3,U ,NA,  ,  ,999,17,,,,,,,,,,,,,,,,,,,,,U ,
0130055409V1P1I01   ,0130055409V1 ,130055409,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130043117V1P1I01   ,0130043117V1 ,130043117,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130053981V1P1I01   ,0130053981V1 ,130053981,1,U,0001-01-01,5,FL,1,2,3,U ,NA,  ,  ,999,21,,,,,,,,,,,,15,,,,,,,,,U ,
0130086621V1P1I01   ,0130086621V1 ,130086621,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130006446V1P1I01   ,2130006446V1 ,2130006446,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,11,,,,,,,,,,,,,,,,,,,,,U ,
0130034760V1P1I01   ,0130034760V1 ,130034760,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
0130052111V1P1I01   ,0130052111V1 ,130052111,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,11,,,,,,,,,,,,,,,,,,,,,,
2130001050V1P1I01   ,2130001050V1 ,2130001050,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,7,,,,,,,,,,,,,,,,,,,,,U ,
3130028466V2P4I01   ,3130028466V2 ,3130028466,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,5,13,,,,,,,,,,,,,,,,,,,,U ,
3130007238V2P3I01   ,3130007238V2 ,3130007238,1,U,0001-01-01,U,FL,U ,U ,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130013123V1P1I01   ,0130013123V1 ,130013123,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,7,,,,,,,,,,,,,,,,,,,,,U ,
0130017460V1P1I01   ,0130017460V1 ,130017460,1,U,0001-01-01,U,FL,1,2,10,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
2130006201V1P1I01   ,2130006201V1 ,2130006201,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130021815V2P2I01   ,2130021815V2 ,2130021815,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130051719V1P1I01   ,0130051719V1 ,130051719,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130012758V1P1I01   ,0130012758V1 ,130012758,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
2130003908V1P1I01   ,2130003908V1 ,2130003908,1,U,11/2/92,5,FL,1,2,3,N ,NA,N ,  ,20,13,,,,,,,,,,,,,,,,,,,,,5,
0130037059V1P1I01   ,0130037059V1 ,130037059,1,U,0001-01-01,5,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130048603V1P1I01   ,0130048603V1 ,130048603,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
2130004839V1P1I01   ,2130004839V1 ,2130004839,1,U,0001-01-01,U,XX,U ,U ,U ,U ,NA,N ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
0130042394V1P1I01   ,0130042394V1 ,130042394,1,U,0001-01-01,U,FL,NA,NA,  ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,,
3130027553V2P3I01   ,3130027553V2 ,3130027553,1,U,0001-01-01,U,FL,1,2,U ,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
2130021825V2P2I01   ,2130021825V2 ,2130021825,1,U,0001-01-01,U,NA,U ,U ,  ,U ,NA,N ,  ,999,13,,,,,,,,,,,,,,,,,,,,,U ,
0130053603V1P1I01   ,0130053603V1 ,130053603,1,U,0001-01-01,U,FL,U ,U ,10,U ,NA,  ,  ,999,U ,,,,,,,,,,,,,,,,,,,,,U ,
